experiment,method,cv,target,per_model_file,n_train,n_test,R2,MAE,RMSE,MRE,iteration,seed,source,run_folder,summary_path,parent_dir,dal_depth
baseline_split80_llm_pilot_iter01_seed42,baseline_llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.4972790932422558,150.69802981720355,414.1777735981071,192.27312900520235,1,42,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_112734/permodel_split80_baseline_summary_llm_pilot.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_112734,
baseline_split80_llm_pilot_iter02_seed1042,baseline_llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.5118768972927996,149.4862459053166,401.5262252202168,209.38939552953548,2,1042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_112739/permodel_split80_baseline_summary_llm_pilot.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_112739,
baseline_split80_llm_pilot_iter03_seed2042,baseline_llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.4978733431707509,152.6310505989158,426.6150982069433,179.74298604789664,3,2042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_112745/permodel_split80_baseline_summary_llm_pilot.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_112745,
baseline_split80_llm_pilot_iter04_seed3042,baseline_llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.491535218657838,152.7048057947645,418.2061345524621,187.506489659501,4,3042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_112751/permodel_split80_baseline_summary_llm_pilot.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_112751,
baseline_split80_llm_pilot_iter05_seed4042,baseline_llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.4499175849751236,154.35325807809394,437.2594611633803,176.02869154683282,5,4042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_112756/permodel_split80_baseline_summary_llm_pilot.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_112756,
baseline_split80_llm_pilot_iter06_seed5042,baseline_llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.4651767926441958,150.30079655742847,413.1305406271916,190.85791050250737,6,5042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_112802/permodel_split80_baseline_summary_llm_pilot.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_112802,
baseline_split80_llm_pilot_iter07_seed6042,baseline_llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.446985236576893,153.89221086639924,434.7811601011411,190.8660295628342,7,6042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_112807/permodel_split80_baseline_summary_llm_pilot.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_112807,
baseline_split80_llm_pilot_iter08_seed7042,baseline_llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.5103820544086858,148.73697247880747,411.4093866254054,207.11154304385485,8,7042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_112813/permodel_split80_baseline_summary_llm_pilot.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_112813,
baseline_split80_llm_pilot_iter09_seed8042,baseline_llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.4621554139155054,155.42984158971726,438.5572103867825,202.6185607742572,9,8042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_112818/permodel_split80_baseline_summary_llm_pilot.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_112818,
baseline_split80_llm_pilot_iter10_seed9042,baseline_llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.4964309243097743,147.9501890303862,411.4648999524444,208.08963093615947,10,9042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_112824/permodel_split80_baseline_summary_llm_pilot.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_112824,
baseline_split80_llm_pilot_iter11_seed10042,baseline_llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.4787330730080417,155.547051475689,447.01529772046865,190.669007045937,11,10042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_112829/permodel_split80_baseline_summary_llm_pilot.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_112829,
baseline_split80_llm_pilot_iter12_seed11042,baseline_llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.4636083848113886,152.08555895820223,417.4735051762538,191.4824704888238,12,11042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_112835/permodel_split80_baseline_summary_llm_pilot.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_112835,
baseline_split80_llm_pilot_iter13_seed12042,baseline_llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.4487908661713112,152.42449188979015,436.4870076183377,219.09398339111573,13,12042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_112840/permodel_split80_baseline_summary_llm_pilot.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_112840,
baseline_split80_llm_pilot_iter14_seed13042,baseline_llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.4873251988317154,152.86114932982582,421.86214104999993,186.30476486180265,14,13042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_112846/permodel_split80_baseline_summary_llm_pilot.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_112846,
baseline_split80_llm_pilot_iter15_seed14042,baseline_llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.4577646988916246,155.39575427448696,444.3620172100209,196.4358066315552,15,14042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_112852/permodel_split80_baseline_summary_llm_pilot.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_112852,
baseline_split80_llm_pilot_iter16_seed15042,baseline_llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.4983928346960946,150.4477433044632,398.15863005747616,214.41254369602677,16,15042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_112857/permodel_split80_baseline_summary_llm_pilot.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_112857,
baseline_split80_llm_pilot_iter17_seed16042,baseline_llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.4642553030463519,156.20630516105135,448.3661399924489,187.5286997903083,17,16042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_112903/permodel_split80_baseline_summary_llm_pilot.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_112903,
baseline_split80_llm_pilot_iter18_seed17042,baseline_llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.4316547784501303,153.4941108476466,421.1505983590963,178.52922955239558,18,17042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_112909/permodel_split80_baseline_summary_llm_pilot.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_112909,
baseline_split80_llm_pilot_iter19_seed18042,baseline_llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.4841547471386997,156.55813974100957,423.47799989797875,235.68818079855967,19,18042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_112914/permodel_split80_baseline_summary_llm_pilot.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_112914,
baseline_split80_llm_pilot_iter20_seed19042,baseline_llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.4685736619428919,151.95814372748958,429.1419305071615,201.19365481601008,20,19042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_112920/permodel_split80_baseline_summary_llm_pilot.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_112920,
baseline_split80_llm_pilot_iter21_seed20042,baseline_llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.4622899702383292,149.97228775066753,422.62349438715546,203.72883061237613,21,20042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_112926/permodel_split80_baseline_summary_llm_pilot.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_112926,
baseline_split80_llm_pilot_iter22_seed21042,baseline_llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.4828047054828166,153.2442172337698,430.9387427075116,195.0296399561751,22,21042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_112931/permodel_split80_baseline_summary_llm_pilot.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_112931,
baseline_split80_llm_pilot_iter23_seed22042,baseline_llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.4781032359442126,152.0708095712474,431.2649455464456,203.5960683141297,23,22042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_112937/permodel_split80_baseline_summary_llm_pilot.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_112937,
baseline_split80_llm_pilot_iter24_seed23042,baseline_llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.4806614075925097,153.8913399010567,436.80394623791904,189.6176293164714,24,23042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_112942/permodel_split80_baseline_summary_llm_pilot.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_112942,
baseline_split80_llm_pilot_iter25_seed24042,baseline_llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.4885815882198991,152.92548530866085,417.31324885724314,178.44761289266327,25,24042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_112948/permodel_split80_baseline_summary_llm_pilot.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_112948,
baseline_split80_llm_pilot_iter26_seed25042,baseline_llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.4944868124113535,150.51286435697403,425.4388156627698,181.02793532653916,26,25042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_112954/permodel_split80_baseline_summary_llm_pilot.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_112954,
baseline_split80_llm_pilot_iter27_seed26042,baseline_llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.4680820037520964,155.0064939906959,447.1416960513936,182.81345558652245,27,26042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_112959/permodel_split80_baseline_summary_llm_pilot.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_112959,
baseline_split80_llm_pilot_iter28_seed27042,baseline_llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.4902216580453165,151.1620219762792,405.38699469409175,186.77846603922015,28,27042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_113005/permodel_split80_baseline_summary_llm_pilot.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_113005,
baseline_split80_llm_pilot_iter29_seed28042,baseline_llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.5000453067633321,153.45975791077348,427.23916494156634,198.06409264822165,29,28042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_113011/permodel_split80_baseline_summary_llm_pilot.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_113011,
baseline_split80_llm_pilot_iter30_seed29042,baseline_llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.4653293011785124,152.4886243290051,433.2039155696587,195.8391103240103,30,29042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_113016/permodel_split80_baseline_summary_llm_pilot.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_113016,
baseline_split80_lr_iter01_seed42,baseline_lr,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.3139622845543658,194.83147962703185,483.8350339146393,419.1654432692164,1,42,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_104107/permodel_split80_baseline_summary_lr.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_104107,
baseline_split80_lr_iter02_seed1042,baseline_lr,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.3266711803727435,194.15411530461455,471.58809835506014,408.2476532452655,2,1042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_104113/permodel_split80_baseline_summary_lr.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_104113,
baseline_split80_lr_iter03_seed2042,baseline_lr,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.3169994311743492,196.53590991863535,497.55387759641786,379.6729427149715,3,2042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_104118/permodel_split80_baseline_summary_lr.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_104118,
baseline_split80_lr_iter04_seed3042,baseline_lr,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.3175665719039827,196.0992738098714,484.49590038629714,399.6111184691395,4,3042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_104123/permodel_split80_baseline_summary_lr.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_104123,
baseline_split80_lr_iter05_seed4042,baseline_lr,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.3122386897267228,196.10463636986765,488.92720716614,406.94325458378506,5,4042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_104129/permodel_split80_baseline_summary_lr.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_104129,
baseline_split80_lr_iter06_seed5042,baseline_lr,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.3021276234525769,194.1736381840977,471.9219561896174,404.49155068971737,6,5042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_104134/permodel_split80_baseline_summary_lr.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_104134,
baseline_split80_lr_iter07_seed6042,baseline_lr,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.3059828863321302,195.93031277549343,487.06558478932726,394.00702998628265,7,6042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_104139/permodel_split80_baseline_summary_lr.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_104139,
baseline_split80_lr_iter08_seed7042,baseline_lr,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.3201675894218282,193.4016881217455,484.7819768441047,395.34420295030014,8,7042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_104144/permodel_split80_baseline_summary_lr.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_104144,
baseline_split80_lr_iter09_seed8042,baseline_lr,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.3061817537620284,198.62890723074028,498.1047846252276,397.015115946861,9,8042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_104150/permodel_split80_baseline_summary_lr.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_104150,
baseline_split80_lr_iter10_seed9042,baseline_lr,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.3168180969401998,192.40445144209528,479.2602880093192,419.6615517572228,10,9042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_104155/permodel_split80_baseline_summary_lr.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_104155,
baseline_split80_lr_iter11_seed10042,baseline_lr,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.3170183091467147,197.90329745615983,511.678101868179,413.3045597240727,11,10042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_104200/permodel_split80_baseline_summary_lr.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_104200,
baseline_split80_lr_iter12_seed11042,baseline_lr,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.3182621905756727,194.25775737702875,470.6484345918443,396.7672658874269,12,11042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_104205/permodel_split80_baseline_summary_lr.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_104205,
baseline_split80_lr_iter13_seed12042,baseline_lr,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.2971740286358206,196.17650368747297,492.8752599567386,394.04937992877177,13,12042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_104211/permodel_split80_baseline_summary_lr.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_104211,
baseline_split80_lr_iter14_seed13042,baseline_lr,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.3140807414940344,197.7160157283589,487.96207001204,380.9312865039651,14,13042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_104216/permodel_split80_baseline_summary_lr.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_104216,
baseline_split80_lr_iter15_seed14042,baseline_lr,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.3077506751491026,199.17747325921223,502.08160016277026,378.6676688475046,15,14042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_104222/permodel_split80_baseline_summary_lr.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_104222,
baseline_split80_lr_iter16_seed15042,baseline_lr,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.3181917940989011,194.3943436618501,464.2002602311245,397.1755325099671,16,15042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_104227/permodel_split80_baseline_summary_lr.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_104227,
baseline_split80_lr_iter17_seed16042,baseline_lr,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.308978873392335,199.93125791412496,509.2130557348354,406.3704158345937,17,16042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_104233/permodel_split80_baseline_summary_lr.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_104233,
baseline_split80_lr_iter18_seed17042,baseline_lr,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.3001035108114991,196.17571367567876,467.3564309717827,380.99812278494375,18,17042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_104238/permodel_split80_baseline_summary_lr.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_104238,
baseline_split80_lr_iter19_seed18042,baseline_lr,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.3096323414121302,199.8703675879947,489.90441472421816,434.52849181406987,19,18042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_104243/permodel_split80_baseline_summary_lr.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_104243,
baseline_split80_lr_iter20_seed19042,baseline_lr,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.3029613133653804,197.55061099491212,491.4822689736078,414.1738953235835,20,19042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_104248/permodel_split80_baseline_summary_lr.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_104248,
baseline_split80_lr_iter21_seed20042,baseline_lr,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.3044884528845457,193.79973086668045,480.6530918102067,410.5981460810281,21,20042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_104254/permodel_split80_baseline_summary_lr.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_104254,
baseline_split80_lr_iter22_seed21042,baseline_lr,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.3001595939855218,197.88019867531492,501.28852629378355,397.7576046366136,22,21042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_104259/permodel_split80_baseline_summary_lr.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_104259,
baseline_split80_lr_iter23_seed22042,baseline_lr,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.3005943510303843,197.58523770462116,499.2481045356247,402.1987096203627,23,22042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_104304/permodel_split80_baseline_summary_lr.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_104304,
baseline_split80_lr_iter24_seed23042,baseline_lr,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.3154341508057852,198.6662518567037,501.49761263093825,385.6228901223942,24,23042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_104310/permodel_split80_baseline_summary_lr.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_104310,
baseline_split80_lr_iter25_seed24042,baseline_lr,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.3120503884767831,197.3346605324173,484.0077416491851,413.4171142538805,25,24042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_104315/permodel_split80_baseline_summary_lr.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_104315,
baseline_split80_lr_iter26_seed25042,baseline_lr,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.3142844195176509,193.00731864227572,495.4991055165432,390.9283943372759,26,25042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_104320/permodel_split80_baseline_summary_lr.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_104320,
baseline_split80_lr_iter27_seed26042,baseline_lr,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.3118958154111528,197.98475503783328,508.5690506183032,374.0732452821843,27,26042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_104326/permodel_split80_baseline_summary_lr.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_104326,
baseline_split80_lr_iter28_seed27042,baseline_lr,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.3338247784560495,193.455335170091,463.41849150481113,388.8423458805325,28,27042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_104331/permodel_split80_baseline_summary_lr.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_104331,
baseline_split80_lr_iter29_seed28042,baseline_lr,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.3090739178391801,198.71329985402716,502.2518284320166,396.2786191350896,29,28042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_104336/permodel_split80_baseline_summary_lr.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_104336,
baseline_split80_lr_iter30_seed29042,baseline_lr,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.3045988900299697,197.1477833414977,494.0454124900547,394.1049214474921,30,29042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_104341/permodel_split80_baseline_summary_lr.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_104341,
baseline_split80_nn_iter01_seed42,baseline_nn,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.4564108653151134,151.78230977292108,430.6839619895976,142.2885373076846,1,42,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_105420/permodel_split80_baseline_summary_nn.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_105420,
baseline_split80_nn_iter02_seed1042,baseline_nn,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.4707657015880462,156.4096809152949,418.09331678036466,162.83412566360792,2,1042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_105535/permodel_split80_baseline_summary_nn.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_105535,
baseline_split80_nn_iter03_seed2042,baseline_nn,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.4661717689031557,158.06247031495695,439.8760851150774,137.88641237713333,3,2042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_105632/permodel_split80_baseline_summary_nn.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_105632,
baseline_split80_nn_iter04_seed3042,baseline_nn,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.4262588093847745,167.57832759430212,444.2403224766655,172.6159268881692,4,3042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_105740/permodel_split80_baseline_summary_nn.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_105740,
baseline_split80_nn_iter05_seed4042,baseline_nn,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.4294677648750791,155.20473229289843,445.31305570324366,134.63801217114624,5,4042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_105840/permodel_split80_baseline_summary_nn.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_105840,
baseline_split80_nn_iter06_seed5042,baseline_nn,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.4330090456071741,151.9536014209056,425.373317602878,154.12066614104305,6,5042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_110016/permodel_split80_baseline_summary_nn.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_110016,
baseline_split80_nn_iter07_seed6042,baseline_nn,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.4166950996263199,157.12382919584553,446.5295111930752,146.8693917287363,7,6042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_110106/permodel_split80_baseline_summary_nn.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_110106,
baseline_split80_nn_iter08_seed7042,baseline_nn,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.4488271685055705,159.42174677543164,436.50521197107446,155.09596703160824,8,7042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_110204/permodel_split80_baseline_summary_nn.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_110204,
baseline_split80_nn_iter09_seed8042,baseline_nn,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.4379993237296965,163.18541272409698,448.2974557457925,143.86415814779187,9,8042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_110258/permodel_split80_baseline_summary_nn.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_110258,
baseline_split80_nn_iter10_seed9042,baseline_nn,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.4493498819199762,154.68414918808304,430.2700687085876,168.33876158233792,10,9042,baseline,,results/runs/20260130_104106/30x_baselines/2026-01-30_110344/permodel_split80_baseline_summary_nn.csv,results/runs/20260130_104106/30x_baselines/2026-01-30_110344,
